camis,place_id,formatted_address,lat,lng,county
41469996,ChIJw-k7KXZZwokRYHpIDxB7iuk,"277 E 10th St, New York, NY 10009, USA",40.728287,-73.982699,New York County
50039187,ChIJPyHQEBZFwokRMePgXYxsmMU,"7202 New Utrecht Ave, Brooklyn, NY 11228, USA",40.618227,-73.99956999999999,Kings County
41406564,ChIJT8_gIIZZwokRwq2qFL2QgTg,"19 Kenmare St, New York, NY 10012, USA",40.7206906,-73.994593,New York County
50017648,ChIJcwP_EAL2wokRiP7TYfl344g,"2036 2nd Ave, New York, NY 10029, USA",40.7896895,-73.9428039,New York County
41668846,EiY2MTMgQ3Jlc2NlbnQgQXZlLCBCcm9ueCwgTlkgMTA0NTgsIFVTQQ,"613 Crescent Ave, Bronx, NY 10458, USA",40.8537182,-73.88781,Bronx County
50018238,ChIJW8CRK0tOwokRk5vQZBxTDbM,"95 Water St, Staten Island, NY 10304, USA",40.627201,-74.07725599999999,Richmond County
41299050,ChIJNQQLdwpgwokRdkZxW_a3jCE,"12696 Willets Point Blvd, Flushing, NY 11368, USA",40.7578729,-73.84170900000001,Queens County
50002451,ChIJYdi7zClawokRVhRx3K6h5hA,"38 Allen St, New York, NY 10002, USA",40.7159373,-73.9917571,New York County
41709740,ChIJi2s4tbRZwokRUGMhmCMOUDM,"655 W 34th St, New York, NY 10001, USA",40.7570237,-74.00196989999999,New York County
41181265,ChIJWQZK2IVcwokR5DInQgTNyQ8,"1009 Rutland Rd, Brooklyn, NY 11212, USA",40.6628648,-73.9263368,Kings County
50010284,ChIJ71FhuNnywokRqtUgNVzQ-SY,"4379 White Plains Rd, Bronx, NY 10466, USA",40.8977963,-73.8551959,Bronx County
40366109,ChIJFRYvtf1awokRbXbApOVoVVM,"416 5th Ave, Brooklyn, NY 11215, USA",40.67017250000001,-73.98586209999999,Kings County
50037295,ChIJKS1UwFlZwokRmbOsEXPiQtw,"595 Metropolitan Ave, Brooklyn, NY 11211, USA",40.7143016,-73.9490829,Kings County
41459743,ChIJd0u14QNZwokR7_8LGmRPVTc,"369 Lexington Ave, New York, NY 10016, USA",40.7504713,-73.9764046,New York County
50034573,ChIJ4T4g5BJbwokRiUU1SVoopVA,"51 Lincoln Rd, Brooklyn, NY 11225, USA",40.66095079999999,-73.9613375,Kings County
50001945,ChIJ16ycTLtYwokRZGSd5tpPnz0,"1575 3rd Ave, New York, NY 10128, USA",40.7802249,-73.9525932,New York County
41641855,ChIJYev28c5fwokRk1LkfRbh44c,"10440 Corona Ave, Flushing, NY 11368, USA",40.7437556,-73.8572755,Queens County
41057755,ChIJS4qA7UZewokRc9g0LmGPF9g,"6229 Woodhaven Blvd, Flushing, NY 11374, USA",40.7261818,-73.8697944,Queens County
40859175,ChIJrb61LvxKwokR2kKnDUJSUJI,"813 Annadale Rd, Staten Island, NY 10312, USA",40.5419925,-74.17727330000001,Richmond County
41416221,ChIJwUGwgrJZwokRnp7gTOPYWtc,"476 9th Ave, New York, NY 10018, USA",40.7548869,-73.99480900000002,New York County
40549913,ChIJOUMnup_0wokR3huCOlEhmvM,"2170 White Plains Rd, Bronx, NY 10462, USA",40.8555371,-73.8672586,Bronx County
40395858,ChIJccxLg3SKwokRlwfikdp6700,"3437 Bell Blvd, Flushing, NY 11361, USA",40.7693963,-73.7735119,Queens County
41617151,ChIJu4RR1QViwokRm5l6T4P6BdY,"24202 61st Ave, Douglaston, NY 11362, USA",40.75449649999999,-73.73761809999999,Queens County
41212798,ChIJxaNtVS_2wokREm3DaK_5w08,"3111 Broadway, New York, NY 10027, USA",40.8129938,-73.96064059999999,New York County
50013682,ChIJ88YMCkdfwokR_AvO8t0FiRs,"2844 31st St, Long Island City, NY 11102, USA",40.767539,-73.921256,Queens County
50050836,ChIJsaSCwxFgwokRy18S6hR0W48,"13620 Roosevelt Ave, Flushing, NY 11354, USA",40.759362,-73.8290939,Queens County
50001838,ChIJUe_tJB9awokR8QxAFS-nceU,"124 Chambers St, New York, NY 10007, USA",40.7151357,-74.00885,New York County
41548430,ChIJ3_W_vh1cwokRpLN3wgg6ags,"91 Wyckoff Ave, Brooklyn, NY 11237, USA",40.7051223,-73.9201247,Kings County
41304667,EiUxMDA0IDR0aCBBdmUsIEJyb29rbHluLCBOWSAxMTIzMiwgVVNB,"1004 4th Ave, Brooklyn, NY 11232, USA",40.6527517,-74.0061659,Kings County
41327047,Eig1OTUgQmVkZm9yZCBBdmUsIEJyb29rbHluLCBOWSAxMTIxMSwgVVNB,"595 Bedford Ave, Brooklyn, NY 11211, USA",40.703725,-73.960641,Kings County
41479962,ChIJjRjPdhT2wokR_jlN-T6mtYs,"2217 Frederick Douglass Blvd, New York, NY 10026, USA",40.80692560000001,-73.9539472,New York County
41586413,ChIJhYnMdYJZwokRqEq4w4vwulw,"17 Avenue B, New York, NY 10009, USA",40.7220223,-73.98317569999999,New York County
40831475,ChIJn1zl_GdfwokR1Q0ld4DJtNI,"2255 31st St, Long Island City, NY 11105, USA",40.774797,-73.911866,Queens County
40574346,ChIJNdv8Pb9ZwokR1SHlRAL0Itw,"75 9th Ave, New York, NY 10011, USA",40.7419634,-74.0049148,New York County
50045763,EjY4IEZlcnJ5IFRlcm1pbmFsIFZpYWR1Y3QsIFN0YXRlbiBJc2xhbmQsIE5ZIDEwMzAxLCBVU0E,"8 Ferry Terminal Viaduct, Staten Island, NY 10301, USA",40.6438268,-74.07296389999999,Richmond County
50000935,ChIJq5OxD_5cwokRCTFc83w_Oh8,"797 Pennsylvania Ave, Brooklyn, NY 11207, USA",40.6583647,-73.8898117,Kings County
50003077,ChIJh2fhPJfzwokRy2SckVhb4w0,"3073 Bailey Ave, Bronx, NY 10463, USA",40.8779404,-73.9027711,Bronx County
41317594,ChIJhSLc_R5awokR0AQgvEH69nE,"134 Reade St, New York, NY 10013, USA",40.7165262,-74.00956699999999,New York County
50001954,ChIJ66I2xEvzwokRhaXqxVy7vU8,"1344 E Gun Hill Rd, Bronx, NY 10469, USA",40.8705556,-73.84675899999999,Bronx County
41327489,ChIJ7xcL8z1awokRTw3QvxzVAk8,"129 Front St, New York, NY 10005, USA",40.7051392,-74.0062351,New York County
41428223,ChIJv-dTb_dYwokRKcSOHn_ZttA,"146 W 57th St, New York, NY 10019, USA",40.7648614,-73.9792586,New York County
50037179,ChIJg44qQb5ZwokRJSnj2lTiON8,"78 8th Ave, New York, NY 10011, USA",40.7394878,-74.0024597,New York County
41595314,ChIJH4rMKeRYwokRmGYwu30i1Qw,"1083 2nd Ave, New York, NY 10022, USA",40.759558,-73.965436,New York County
40612297,ChIJXzb29flYwokR3nwUeWUoK1g,"58 W 56th St, New York, NY 10019, USA",40.7633128,-73.97717109999999,New York County
41667113,ChIJz30D0HhbwokRUKqCedNGbVE,"310 Kingston Ave, Brooklyn, NY 11213, USA",40.668384,-73.94255900000002,Kings County
41431607,ChIJoWqUUFhFwokR_O-3tk-03jU,"7523 3rd Ave, Brooklyn, NY 11209, USA",40.6307789,-74.027734,Kings County
41706173,EioyNTEgTXVycmF5IFN0cmVldCwgTmV3IFlvcmssIE5ZIDEwMjgyLCBVU0E,"251 Murray Street, New York, NY 10282, USA",40.7155198,-74.0155102,New York County
50014104,ChIJHWmIC1BEwokRJj507SH5sQw,"603 Avenue Z, Brooklyn, NY 11223, USA",40.5862819,-73.9715629,Kings County
40622601,ChIJq56WSNVbwokRtECW0EJ2Nu0,"505 Grand St, New York, NY 10002, USA",40.71446419999999,-73.9823203,New York County
41652560,ChIJ1VKFI5JZwokRFXKBTSPphkw,"95 Macdougal St, New York, NY 10012, USA",40.729529,-74.00113999999999,New York County
41642227,ChIJd5YBxFCLwokRflkb2a75R08,"1731 Crosby Ave, Bronx, NY 10461, USA",40.8461246,-73.8319405,Bronx County
40513885,ChIJg1UA_VZFwokRBLcMnwXHfdQ,"6920 3rd Ave, Brooklyn, NY 11209, USA",40.635301,-74.026513,Kings County
50002843,ChIJDw0Tiw32wokR7aziFDL2FSk,"231 Malcolm X Blvd, New York, NY 10027, USA",40.805696,-73.94747199999999,New York County
40365264,ChIJY6LmkvtYwokRQAMmYSSjAfs,"3 E 52nd St, New York, NY 10022, USA",40.7596796,-73.97557069999999,New York County
50015640,ChIJVVUZWwhcwokRd9yIKrOxWzM,"1158 Myrtle Ave, Brooklyn, NY 11221, USA",40.696983,-73.933663,Kings County
41294692,ChIJ21RqLjNFwokRoGFIRVJ1S2g,"4916 Fort Hamilton Pkwy, Brooklyn, NY 11219, USA",40.638213,-73.998325,Kings County
41050795,ChIJl-eatkdfwokRgsatZ5xHK1k,"Broadway, Queens, NY, USA",40.7595336,-73.9201982,Queens County
40513662,EiQ1MDUgNTFzdCBTdCwgQnJvb2tseW4sIE5ZIDExMjIwLCBVU0E,"505 51st St, Brooklyn, NY 11220, USA",40.644462,-74.010733,Kings County
40718547,ChIJB07jvj9gwokRvOaHdZ8iaCM,"4563 Bowne St, Flushing, NY 11355, USA",40.7524508,-73.816634,Queens County
41050224,ChIJDfFedj5fwokR1_MRqnfK_Kk,"4301 31st Ave, Astoria, NY 11103, USA",40.7602845,-73.9143955,Queens County
41432356,ChIJaT_iugNfwokRYNsq_DEIqeE,"6806 Roosevelt Ave, Flushing, NY 11377, USA",40.7460449,-73.897075,Queens County
40739276,ChIJ1wPfxaVZwokRmAPwEWnLI-c,"29 W 26th St, New York, NY 10010, USA",40.744452,-73.98998270000001,New York County
41334681,EikzNzAxIE1lcm1haWQgQXZlLCBCcm9va2x5biwgTlkgMTEyMjQsIFVTQQ,"3701 Mermaid Ave, Brooklyn, NY 11224, USA",40.5748089,-74.0032976,Kings County
41630826,ChIJh2GByeVYwokRDSKBOWW-x2g,"204 E 58th St, New York, NY 10022, USA",40.7605229,-73.9667139,New York County
50014495,EioxMjk4IFdlc3RjaGVzdGVyIEF2ZSwgQnJvbngsIE5ZIDEwNDU5LCBVU0E,"1298 Westchester Ave, Bronx, NY 10459, USA",40.82748369999999,-73.8864047,Bronx County
41510846,ChIJmeJzoIdZwokRltjc0vnG1is,"Grand St, New York, NY 10013, USA",40.7208716,-74.00063349999999,New York County
41271730,ChIJfbcnNA9ZwokRxfV4eymv9nk,"570 2nd Ave, New York, NY 10016, USA",40.7428896,-73.9767193,New York County
41629235,ChIJ1XIa_Z1ZwokRPlv1U7QzRVw,"203 1st Avenue, New York, NY 10003, USA",40.7303678,-73.9836078,New York County
50007345,ChIJJSmSwY1ZwokRzIbySkXY8-Y,"137 Sullivan St, New York, NY 10012, USA",40.72678399999999,-74.00179,New York County
41575509,ChIJ02PnWSNfwokRwJYbT6F5y88,"4316 34th Ave, Long Island City, NY 11101, USA",40.75509599999999,-73.91807,Queens County
41006765,ChIJGy8Umr9ZwokRCj2clrB9tUc,"675 Hudson St, New York, NY 10014, USA",40.7404266,-74.00545799999999,New York County
50004505,ChIJ4WAXwxf2wokRm48eJBxcNDI,"Manhattan Ave, New York, NY 10027, USA",40.8086189,-73.9542057,New York County
41150606,ChIJSWOMEapZwokRdYe0bFxx0Mo,"18 W 38th St, New York, NY 10018, USA",40.7512,-73.983819,New York County
41427023,ChIJt5_n1SVewokRb0ZWgCMfm4M,"10437 Queens Blvd, Forest Hills, NY 11375, USA",40.7237598,-73.8478741,Queens County
50012426,ChIJHVUH5wRcwokRLdbVx-8E4zg,"140 Wilson Ave, Brooklyn, NY 11237, USA",40.700486,-73.925855,Kings County
50043524,ChIJuWza30qLwokRDHDmu6aVugw,"1315 Commerce Ave, Bronx, NY 10461, USA",40.8358524,-73.84066580000001,Bronx County
40385161,Eio3MzMgV2FzaGluZ3RvbiBTdCwgTmV3IFlvcmssIE5ZIDEwMDE0LCBVU0E,"733 Washington St, New York, NY 10014, USA",40.7362236,-74.0083164,New York County
50040813,ChIJ1wLjcg5gwokRm1UR0drHVpQ,"4009 Prince St, Flushing, NY 11354, USA",40.75868759999999,-73.8315744,Queens County
41531139,ChIJjSwoY1ZYwokRH76EGmUzS-s,"230 W 49th St, New York, NY 10019, USA",40.761075,-73.985756,New York County
